Due Date,Date Completed,Task Name,Task Type,Assignees,Plantings Assigned,Location Assigned,Method,Sub-method,Input,Description,Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Unit,Application Rate Area,Comments,Name Of Pest Identified,Number Of Minutes,Lines Of Drip,360 Pipe #Lines,360 Pipe Minutes,360 Pipe Heads Per Line,180 Pipe #Lines,180 Pipe Minutes,180 Pipe Heads Per Line,Total Inches,Total Gallons,Completed,Total Labor Hours
09/12/2020,30/12/2020,Transplant,Transplant,Nimrod Wald,Spinach Regata ריגאטה 09/12/2020 ,"Ramim,Ra.2,Block C6m,Beds 208",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
10/09/2020,13/09/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions אלדורדו 06/08/2020 ,"Ramim,Ra.2,Block C6m,Beds 208",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
23/07/2020,23/07/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions אלדורדו 22/06/2020 ,"Ramim,Ra.2,Block C6m,Beds 208",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
23/07/2020,23/07/2020,Transplant,Transplant,Nimrod Wald,Sorrel Red Veined 01/06/2020 ,"Ramim,Ra.2,Block C6m,Beds 208",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
10/04/2020,10/04/2020,Direct Sow,Direct Sow,Nimrod Wald,Beets MIX עלי ביבי 10/04/2020 ,"Ramim,Ra.2,Block C6m,Beds 208",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,07/12/2020,Transplant,Transplant,Nimrod Wald,New Zealand Spinach Tetragonia Specialty 02/12/2020 ,"Home,HH,Block C,Beds 15",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
26/02/2020,26/02/2020,Greenhouse Sow,Greenhouse Sow,Nimrod Wald,New Zealand Spinach Tetragonia Specialty 26/02/2020 ,"Home,HH,Block C,Beds 15",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
29/10/2020,31/10/2020,Transplant,Transplant,Nimrod Wald,Beets Forono - מוערך נטע 24/09/2020 ,"Ramim,Ra.1,Block L2,Beds 132",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
13/09/2020,13/09/2020,Transplant,Transplant,Nimrod Wald,Lettuce IceBerg - לימור 13/09/2020 ,"Ramim,Ra.1,Block L2,Beds 132",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
13/08/2020,13/08/2020,Direct Sow,Direct Sow,Nimrod Wald,Mustard Double Face 13/08/2020 ,"Ramim,Ra.1,Block L2,Beds 132",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
13/08/2020,13/08/2020,Direct Sow,Direct Sow,Nimrod Wald,Mustard Red Giant 13/08/2020 ,"Ramim,Ra.1,Block L2,Beds 132",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
27/05/2020,28/05/2020,הוספת קו השקייה,Irrigate,Nimrod Wald,   ,"Ramim,Ra.1,Block L2,Beds 132",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
27/01/2020,29/01/2020,Transplant,Transplant,Nimrod Wald,Lettuce hyd. ערבית - נהורה נטע 16/12/2019 ,"Ramim,Ra.1,Block L2,Beds 132",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
07/04/2020,10/04/2020,Transplant,Transplant,Nimrod Wald,Parsley בורג'ו - נטע 26/02/2020 ,"Ramim,Ra.2,Block C1,Beds 215",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
18/11/2020,23/11/2020,Direct Sow,Direct Sow,Nimrod Wald,Beets MIX עלי ביבי 18/11/2020 ,"Ramim,Ra.1,Block L6m,Beds 101",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
30/07/2020,30/07/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes AB 708 30/07/2020 ,"Ramim,Ra.1,Block L6m,Beds 101",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
23/11/2020,24/11/2020,Transplant,Transplant,Nimrod Wald,Kohlrabi קרף - נטע 19/10/2020 ,"Ramim,Ra.2,Block C1,Beds 209",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
14/09/2020,16/09/2020,Transplant,Transplant,Nimrod Wald,Lettuce 936 רומית 14/09/2020 ,"Ramim,Ra.2,Block C1,Beds 209",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
26/03/2020,26/03/2020,Transplant,Transplant,Nimrod Wald,Beets Generic Variety 26/03/2020 ,"Ramim,Ra.2,Block C1,Beds 209",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
25/03/2020,25/03/2020,Transplant,Transplant,Nimrod Wald,Beets Forono - מוערך נטע 19/02/2020 ,"Ramim,Ra.2,Block C1,Beds 209",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
15/01/2020,15/01/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes נטע אדומה 15/01/2020 ,"Ramim,Ra.2,Block C1,Beds 209",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
28/05/2020,28/05/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes נטע אדומה 28/05/2020 ,"Ramim,Ra.1,Block L2,Beds 131",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
14/09/2020,16/09/2020,Greenhouse Sow,Greenhouse Sow,Nimrod Wald,Kale גומן 14/09/2020 ,"Home,HH,Block C,Beds 13",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
15/07/2020,16/07/2020,הדליה - קומה,Trellis,Nimrod Wald,   ,"Home,HH,Block C,Beds 13",,,,"פלפל 13 - קומה + גיזום
פלפל 302 - קומה + גיזום",,,0,,,,,,,,,,,,,0.0,0.0,Yes,
08/06/2020,08/06/2020,"הקמת הדלייה, Trellis",Trellis,Nimrod Wald,   ,"Home,HH,Block C,Beds 13",,,,"עמודי ברזל קטנים
",,,,,,,,,,,,,,,,0.0,0.0,Yes,0.00
04/06/2020,04/06/2020,Transplant,Transplant,Nimrod Wald,Peppers Padron 13/04/2020 ,"Home,HH,Block C,Beds 13",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
04/06/2020,04/06/2020,Transplant,Transplant,Nimrod Wald,Peppers לפיד 17/05/2020 ,"Home,HH,Block C,Beds 13",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
30/09/2020,30/09/2020,Transplant,Transplant,Nimrod Wald,Celery Gigante Dorato 30/09/2020 ,"Ramim,Ra.1,Block L1,Beds 113",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
09/07/2020,10/07/2020,Transplant,Transplant,Nimrod Wald,Dill אמליה 01/06/2020 ,"Ramim,Ra.1,Block L1,Beds 113",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
11/06/2020,11/06/2020,Transplant,Transplant,Nimrod Wald,Peppers Macabi 13/04/2020 ,"Ramim,Ra.1,Block L1,Beds 111",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
26/02/2020,26/02/2020,Direct Sow,Direct Sow,Nimrod Wald,Lettuce: Salad Mix Chicory 26/02/2020 ,"Ramim,Ra.1,Block L1,Beds 111",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
18/11/2020,23/11/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions Red Bunching 18/11/2020 ,"Ramim,Ra.3,Block R1,Beds 310",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
18/11/2020,23/11/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions אלדורדו 18/10/2020 ,"Ramim,Ra.3,Block R1,Beds 310",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
18/03/2020,18/03/2020,Direct Sow,Direct Sow,Nimrod Wald,Carrots colori Mix - Franchi 18/03/2020 ,"Ramim,Ra.3,Block R1,Beds 310",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
13/08/2020,13/08/2020,Transplant,Transplant,Nimrod Wald,Spinach Aurora Mountain Spinach 13/08/2020 ,"Ramim,Ra.3,Block R2,Beds 321",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
16/04/2020,16/04/2020,Transplant,Transplant,Nimrod Wald,Tomatoes Blond Kopfcer - יעל 26/02/2020 ,"Ramim,Ra.3,Block R2,Beds 321",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/04/2020,16/04/2020,1st potting up,Potting up,Nimrod Wald,Tomatoes Blond Kopfcer - יעל 26/02/2020 ,"Ramim,Ra.3,Block R2,Beds 321",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,03/12/2020,Direct Sow,Direct Sow,Nimrod Wald,Kale Red Russian 02/12/2020 ,"Ramim,Ra.2,Block C2,Beds 221",,,,,,,0,,,40 grams of seeds,,,,,,,,,,0.0,0.0,Yes,0.00
02/12/2020,03/12/2020,Direct Sow,Direct Sow,Nimrod Wald,Tatsoi Tatsoi 02/12/2020 ,"Ramim,Ra.2,Block C2,Beds 221",,,,,,,0,,,60 grams of seeds,,,,,,,,,,0.0,0.0,Yes,0.00
08/10/2020,11/10/2020,Transplant,Transplant,Nimrod Wald,Parsley Generic Variety 08/10/2020 ,"Ramim,Ra.2,Block C2,Beds 221",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
25/06/2020,24/06/2020,Transplant,Transplant,Nimrod Wald,Cilantro Santirini - נטע 20/05/2020 ,"Ramim,Ra.2,Block C2,Beds 221",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
06/05/2020,06/05/2020,Transplant,Transplant,Nimrod Wald,Cilantro Santirini - נטע 26/03/2020 ,"Ramim,Ra.2,Block C2,Beds 221",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
16/04/2020,16/04/2020,Transplant,Transplant,Nimrod Wald,Peppers Cornito Rosso 16/04/2020 ,"Ramim,Ra.3,Block R3,Beds 329",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/09/2020,03/09/2020,Transplant,Transplant,Nimrod Wald,Dill Generic Variety 02/09/2020 ,"Ramim,Ra.2,Block C1,Beds 216",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
09/07/2020,10/07/2020,Transplant,Transplant,Nimrod Wald,Kohlrabi Konmar 09/07/2020 ,"Ramim,Ra.2,Block C1,Beds 216",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
31/12/2020,31/12/2020,Direct Sow,Direct Sow,Nimrod Wald,Carrots Nantes Half Long 31/12/2020 ,"Ramim,Ra.2,Block C2,Beds 223",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
18/11/2020,23/11/2020,Transplant,Transplant,Nimrod Wald,Pac Choi (Bok Choy) Generic Variety 18/11/2020 ,"Ramim,Ra.2,Block C2,Beds 223",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,0.00
30/09/2020,30/09/2020,Transplant,Transplant,Nimrod Wald,Dill אמליה 20/08/2020 ,"Ramim,Ra.2,Block C2,Beds 223",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
30/07/2020,30/07/2020,Transplant,Transplant,Nimrod Wald,Cilantro רימיני 77 22/06/2020 ,"Ramim,Ra.2,Block C2,Beds 225",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
11/06/2020,11/06/2020,Transplant,Transplant,Nimrod Wald,Cilantro Santirini - נטע 04/05/2020 ,"Ramim,Ra.2,Block C2,Beds 225",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,30/12/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes French Breakfast 02/12/2020 ,"Ramim,Ra.1,Block L1,Beds 115",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
23/07/2020,26/08/2020,Transplant,Transplant,Nimrod Wald,Fennel Generic Variety 23/07/2020 ,"Ramim,Ra.1,Block L1,Beds 115",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
27/04/2020,27/04/2020,Transplant from Purchased,Transplant,Nimrod Wald,Onions: Scallions Generic Variety 27/04/2020 ,"Ramim,Ra.1,Block L1,Beds 115",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
01/04/2020,01/04/2020,Transplant,Transplant,Nimrod Wald,Cilantro Santirini - נטע 26/02/2020 ,"Ramim,Ra.1,Block L1,Beds 115",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
06/01/2020,06/01/2020,Transplant,Transplant,Nimrod Wald,Cilantro Santirini - נטע 02/12/2019 ,"Ramim,Ra.1,Block L1,Beds 115",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
17/04/2020,18/04/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes נטע אדומה 17/04/2020 ,"Ramim,Ra.1,Block L6m,Beds 106",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
13/04/2020,13/04/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions Generic Variety 13/04/2020 ,"Ramim,Ra.1,Block L6m,Beds 106",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
06/01/2020,06/01/2020,Direct Sow,Direct Sow,Nimrod Wald,Mizuna Generic Variety 06/01/2020 ,"Ramim,Ra.1,Block L6m,Beds 106",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
07/12/2020,07/12/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions Red Bunching 07/12/2020 ,"Ramim,Ra.1,Block L1,Beds 110",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
15/10/2020,19/10/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes Generic Variety 15/10/2020 ,"Ramim,Ra.1,Block L1,Beds 110",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
23/07/2020,23/07/2020,Transplant,Transplant,Nimrod Wald,Celery Generic Variety 23/07/2020 ,"Ramim,Ra.1,Block L1,Beds 110",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
30/12/2020,30/12/2020,Transplant,Transplant,Nimrod Wald,Chard Fordhook Giant 30/12/2020 ,"Ramim,Ra.1,Block L2,Beds 127",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
17/09/2020,17/09/2020,Direct Sow,Direct Sow,Nimrod Wald,Carrots Nantes Half Long 17/09/2020 ,"Ramim,Ra.1,Block L2,Beds 127",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
19/03/2020,19/03/2020,Transplant,Transplant,Nimrod Wald,Basil Generic Variety 19/03/2020 ,"Ramim,Ra.1,Block L2,Beds 127",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/09/2020,05/09/2020,Direct Sow,Direct Sow,Nimrod Wald,Arugula Arugula 02/09/2020 ,"Ramim,Ra.2,Block C6m,Beds 203",,,,,,,0,,,33g seeds,,,,,,,,,,0.0,0.0,Yes,
02/09/2020,05/09/2020,Direct Sow,Direct Sow,Nimrod Wald,Lettuce: Salad Mix Mesclun Mix 02/09/2020 ,"Ramim,Ra.3,Block R2,Beds 327",,,,,,,0,,,199g seeds,,,,,,,,,,0.0,0.0,Yes,0.00
07/04/2020,10/04/2020,Transplant,Transplant,Nimrod Wald,Tomatoes Tigerella 12/02/2020 ,"Ramim,Ra.3,Block R2,Beds 327",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
09/08/2020,10/08/2020,Transplant,Transplant,Nimrod Wald,Onions: Scallions Generic Variety 09/08/2020 ,"Ramim,Ra.3,Block R1,Beds 305",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
30/07/2020,30/07/2020,Transplant,Transplant,Nimrod Wald,Leeks Generic Variety 30/07/2020 ,"Ramim,Ra.3,Block R1,Beds 305",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
10/04/2020,10/04/2020,Direct Sow,Direct Sow,Nimrod Wald,Radishes Saxa 10/04/2020 ,"Ramim,Ra.3,Block R1,Beds 305",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
02/12/2020,03/12/2020,Direct Sow,Direct Sow,Nimrod Wald,Parsley Root Generic Variety 02/12/2020 ,"Ramim,Ra.1,Block L1,Beds 114",,,,,,,,,,30 grams of seeds,,,,,,,,,,0.0,0.0,Yes,
06/01/2020,06/01/2020,Transplant,Transplant,Nimrod Wald,Parsley בורג'ו - נטע 06/11/2019 ,"Ramim,Ra.1,Block L1,Beds 114",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
22/10/2020,23/10/2020,Transplant,Transplant,Nimrod Wald,Chard Fordhook Giant 22/10/2020 ,"Ramim,Ra.1,Block L2,Beds 130",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
18/06/2020,18/06/2020,Direct Sow,Direct Sow,Nimrod Wald,Lettuce: Salad Mix Mesclun Mix 18/06/2020 ,"Ramim,Ra.1,Block L2,Beds 130",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
23/11/2020,24/11/2020,Transplant,Transplant,Nimrod Wald,Fennel Orion 23/11/2020 ,"Ramim,Ra.1,Block L1,Beds 120",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
22/01/2020,22/01/2020,Direct Sow,Direct Sow,Nimrod Wald,Carrots FLAKKEE   LONG 22/01/2020 ,"Ramim,Ra.1,Block L1,Beds 120",,,,,,,0,,,,,,,,,,,,,0.0,0.0,Yes,
